StudentID,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,Salary Package,IsAnomaly,PlacementStatus,Target_Gender,Target_City,Target_CollegeTier,Target_Stream,Target_Specialisation,Target_Hostel,Target_HistoryOfBacklogs,Target_CGPA_Tier
4705,7.63,7.91,7.84,7.72,7.49,7.72,7.79,7.92,7.67,69.1,1,3,1.0,1,1,66.2,2.1,59.5,49.9,0,8.72,0,1,0.6583148043673049,0.6467799288818649,0.6976624490671242,0.6563886424134872,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.7792716749065477
4706,7.49,8.09,8.62,8.31,7.98,8.23,7.89,7.87,8.02,79.4,0,1,1.0,3,0,68.5,2.1,49.3,60.3,0,18.27,0,1,0.6583148043673049,0.6553480475382003,0.6976624490671242,0.6487879142756763,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.9910676817936576
4707,8.7,8.43,8.43,8.24,9.05,8.15,7.81,7.98,8.39,75.0,1,1,2.0,2,0,74.5,2.5,57.41127296699558,42.8,1,18.24,0,1,0.6553077968490462,0.6553480475382003,0.9081480429068692,0.6486231313926043,0.6516526517359088,0.6592842673869007,0.7361406597706209,0.9910676817936576
4708,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,10.0,100.0,1,3,4.0,3,1,81.5,4.3,92.3,78.6,0,18.28,0,1,0.6583148043673049,0.6605866403746611,0.9081480429068692,0.6486231313926043,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.9910676817936576
4709,4.19,4.07,4.0,4.0,4.0,4.0,4.0,4.04,4.0,58.9,0,1,1.0,1,0,41.3,2.5,32.2,24.9,0,0.0,0,0,0.6553077968490462,0.6605866403746611,0.3018718274111675,0.6716653512233622,0.6516526517359088,0.6592842673869007,0.3022949379598111,0.2031315364847905
4710,9.12,8.7,8.56,9.13,9.0,8.83,8.78,8.65,8.97,89.5,0,2,2.0,3,0,55.4,4.1,69.0,42.6,1,18.81,0,1,0.6583148043673049,0.6605866403746611,0.6976624490671242,0.6532128154644711,0.6516526517359088,0.6592842673869007,0.7361406597706209,0.9910676817936576
4711,4.87,4.65,5.06,4.67,5.3,4.92,4.43,5.29,4.96,81.4,1,2,2.0,1,0,79.6,3.1,57.1,59.3,1,0.0,0,0,0.6553077968490462,0.6605866403746611,0.3018718274111675,0.6716653512233622,0.6516526517359088,0.6592842673869007,0.3022949379598111,0.2031315364847905
4712,7.8,7.8,7.48,7.66,8.14,7.39,7.51,8.28,7.83,73.7,0,1,1.0,2,1,59.8,3.8,45.1,55.2,0,8.35,0,1,0.6553077968490462,0.6609427609427609,0.6976624490671242,0.6716653512233622,0.6622787899921542,0.6553895987043369,0.3022949379598111,0.7792716749065477
4713,5.98,5.86,6.22,5.91,6.3,6.16,5.98,6.32,6.28,86.6,3,3,4.0,3,2,90.2,3.2,89.7,72.7,0,3.65,0,1,0.6583148043673049,0.6506528701650652,0.9081480429068692,0.6716653512233622,0.6622787899921542,0.6592842673869007,0.7361406597706209,0.2031315364847905
4714,5.73,5.34,5.99,6.08,5.82,5.51,5.77,6.47,5.76,86.6,1,2,2.0,1,1,75.6,3.9,51.5,52.2,1,5.89,0,1,0.6583148043673049,0.6591515870661525,0.6976624490671242,0.6716653512233622,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.2031315364847905
4715,8.47,8.4,8.67,8.29,8.87,8.56,8.35,8.62,8.62,72.9,1,2,1.0,1,0,63.8,3.3,53.7,52.9,0,18.56,0,1,0.6553077968490462,0.6591515870661525,0.3018718274111675,0.6563886424134872,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.9910676817936576
4716,9.64,9.93,8.82,10.0,9.34,9.42,9.94,9.16,9.68,86.8,3,2,3.0,4,2,73.6,3.4,79.3,82.4,1,25.93,0,1,0.6583148043673049,0.6597051597051597,0.6976624490671242,0.6487879142756763,0.6563831350080799,0.6553895987043369,0.7361406597706209,0.9910676817936576
4717,7.12,7.61,6.88,6.97,6.81,7.17,7.02,6.86,7.12,67.6,1,2,1.0,1,0,61.7,2.4,55.1,55.40852962724507,1,9.13,0,1,0.6583148043673049,0.6597051597051597,0.6976624490671242,0.6532128154644711,0.6563831350080799,0.6553895987043369,0.7361406597706209,0.7792716749065477
4718,4.93,5.02,4.62,4.13,4.19,4.4,4.01,4.4,4.47,68.0,0,1,1.0,0,0,34.9,2.4,34.1,23.4,0,0.0,0,0,0.6553077968490462,0.6605866403746611,0.3018718274111675,0.6532128154644711,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.2031315364847905
4719,6.99,8.08,7.17,7.63,7.7,6.95,7.08,7.63,7.33,72.9,1,2,1.0,1,1,68.85926127341149,2.7,60.8,53.6,1,12.33,0,1,0.6553077968490462,0.6529160739687055,0.6976624490671242,0.6532128154644711,0.6563831350080799,0.6553895987043369,0.7361406597706209,0.7792716749065477
4720,5.15,5.15,5.51,5.14,5.1,5.03,5.27,5.52,5.21,64.5,0,0,0.0,0,0,68.85926127341149,1.5,28.6,27.7,0,0.0,0,0,0.6583148043673049,0.6506528701650652,0.3018718274111675,0.6563886424134872,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.2031315364847905
4721,8.01,8.8,8.53,8.64,8.3,8.59,8.51,8.82,8.65,81.0,3,2,3.0,1,2,69.3,3.3,72.0,91.7,1,22.99,0,1,0.6583148043673049,0.6529160739687055,0.9081480429068692,0.6487879142756763,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.9910676817936576
4722,8.71,8.34,8.08,8.52,8.07,8.37,8.29,8.63,4.49,50.00055508,2,3,1.8044691509931448,3,1,36.5,4.2,3.3,77.1,1,18.77,1,1,0.6583148043673049,0.6467799288818649,0.9081480429068692,0.6487879142756763,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.9910676817936576
4723,9.02,8.73,8.84,8.89,9.04,9.31,9.03,9.25,9.19,79.8,1,4,2.0,4,2,68.9,5.0,97.0,52.0,1,25.26,0,1,0.6583148043673049,0.661128903122498,0.9081480429068692,0.6532128154644711,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.9910676817936576
4724,6.68,7.53,7.29,6.94,7.22,6.73,7.5,7.21,6.97,78.3,1,2,1.8044691509931448,1,1,71.6,1.9,57.3,50.6,0,0.0,0,0,0.6583148043673049,0.661128903122498,0.6976624490671242,0.6716653512233622,0.6516526517359088,0.6592842673869007,0.7361406597706209,0.7792716749065477
4725,9.5,9.8,9.91,10.0,10.0,10.0,10.0,10.0,9.92,70.9,2,3,3.0,3,1,66.0,5.0,91.5,70.1,0,18.99,0,1,0.6583148043673049,0.6609427609427609,0.9081480429068692,0.6486231313926043,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.9910676817936576
4726,8.46,8.41,8.8,8.44,8.6,8.94,9.07,9.04,8.81,77.9,2,3,3.0,3,2,81.5,3.6,80.0,77.1,1,22.73,0,1,0.6553077968490462,0.6616339540345579,0.6976624490671242,0.6716653512233622,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.9910676817936576
4727,5.44,4.94,4.99,5.09,5.16,5.08,5.27,4.84,5.03,68.2,0,1,1.0,0,0,46.6,1.0,26.1,26.6,0,0.0,0,0,0.6553077968490462,0.6616339540345579,0.6976624490671242,0.6532128154644711,0.6563831350080799,0.6553895987043369,0.3022949379598111,0.2031315364847905
4728,4.32,4.0,4.0,4.34,4.09,4.0,4.0,4.0,9.77,59.1,3,5,1.0,0,0,96.2,1.4,99.6,27.8,1,0.0,1,0,0.6583148043673049,0.6553480475382003,0.3018718274111675,0.6487879142756763,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.2031315364847905
4729,7.11,7.31,7.42,7.3,7.09,7.26,6.81,7.89,7.39,84.9,1,3,2.0,2,0,68.85926127341149,2.5,57.41127296699558,52.4,1,8.98,0,1,0.6583148043673049,0.6609427609427609,0.3018718274111675,0.6487879142756763,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.7792716749065477
4730,9.14,10.0,10.0,9.77,10.0,9.68,10.0,10.0,9.71,71.6,1,2,3.0,4,1,88.8,5.0,81.8,63.7,1,25.28,0,1,0.6553077968490462,0.6529160739687055,0.6976624490671242,0.6532128154644711,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.9910676817936576
4731,7.92,9.03,9.31,9.1,8.55,9.27,8.88,8.88,8.83,90.4,2,3,3.0,4,1,68.85926127341149,4.0,90.8,82.7,1,22.52,0,1,0.6553077968490462,0.6591515870661525,0.9081480429068692,0.6532128154644711,0.6584004959702418,0.6592842673869007,0.3022949379598111,0.9910676817936576
4732,7.49,7.51,6.99,7.3,7.78,7.7,6.95,7.7,7.3,88.1,2,2,4.0,3,1,68.85926127341149,4.0,54.0,68.3,1,8.29,0,1,0.6583148043673049,0.6605866403746611,0.6976624490671242,0.6487879142756763,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.7792716749065477
4733,9.26,9.5,8.88,9.56,9.02,8.67,8.83,8.94,9.14,77.3,1,2,2.0,3,1,71.2,2.8,56.8,56.0,1,18.41,0,1,0.6553077968490462,0.661128903122498,0.6976624490671242,0.6563886424134872,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.9910676817936576
4734,6.54,5.98,5.07,5.56,5.95,5.58,6.16,5.47,5.84,54.5,0,0,0.0,0,0,47.1,2.0,32.2,25.2,0,0.0,0,0,0.6553077968490462,0.6506528701650652,0.3018718274111675,0.6486231313926043,0.6516526517359088,0.6592842673869007,0.7361406597706209,0.2031315364847905
4735,8.39,7.88,8.33,8.13,8.79,8.71,9.04,9.29,8.56,66.3,1,2,1.0,2,1,80.1,2.9,52.5,50.2,0,18.47,0,1,0.6583148043673049,0.661128903122498,0.3018718274111675,0.651540003644979,0.6516526517359088,0.6592842673869007,0.3022949379598111,0.9910676817936576
4736,7.72,8.91,8.15,8.36,8.6,8.55,8.43,8.69,8.25,87.3,2,5,3.0,4,2,90.9,5.0,87.1,67.9,0,18.52,0,1,0.6583148043673049,0.6605866403746611,0.9081480429068692,0.6716653512233622,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.9910676817936576
4737,8.99,8.5,9.09,9.0,8.96,8.74,8.56,9.17,8.66,76.1,1,2,2.0,1,1,69.2,2.8,50.2,50.8,0,18.98,0,1,0.6583148043673049,0.6616339540345579,0.6976624490671242,0.6716653512233622,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.9910676817936576
4738,9.81,10.0,9.47,10.0,9.99,10.0,10.0,10.0,9.92,76.4,1,3,3.0,3,1,91.8,3.154210956663942,81.6,81.4,1,18.53,0,1,0.6553077968490462,0.661128903122498,0.9081480429068692,0.6716653512233622,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.9910676817936576
4739,7.32,6.3,6.88,7.07,6.62,6.93,6.71,6.66,6.84,79.2,1,3,1.8044691509931448,2,1,59.1,3.4,45.4,54.9,1,12.43,0,1,0.6583148043673049,0.6553480475382003,0.6976624490671242,0.6532128154644711,0.6563831350080799,0.6553895987043369,0.7361406597706209,0.7792716749065477
4740,4.79,4.69,4.57,4.52,5.42,5.26,4.88,4.76,4.84,80.2,1,3,2.0,2,1,68.85926127341149,3.0,49.7,55.40852962724507,0,6.19,0,1,0.6553077968490462,0.6591515870661525,0.9081480429068692,0.6532128154644711,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.2031315364847905
4741,7.92,7.57,8.0,7.83,7.8,8.15,8.27,7.78,7.81,74.0,1,2,1.0,1,0,68.8,2.9,57.41127296699558,47.9,0,12.62,0,1,0.6553077968490462,0.6605866403746611,0.6976624490671242,0.6716653512233622,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.7792716749065477
4742,7.79,8.12,8.11,8.41,8.01,8.72,8.0,9.19,8.44,89.7,2,3,4.0,2,2,93.4,3.5,72.5,70.2,1,22.8,0,1,0.6553077968490462,0.6597051597051597,0.9081480429068692,0.6532128154644711,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.9910676817936576
4743,7.44,6.95,7.06,6.99,7.17,7.29,7.46,7.13,7.14,77.7,1,3,3.0,3,2,75.9,3.7,66.7,79.9,0,8.1,0,1,0.6553077968490462,0.6609427609427609,0.9081480429068692,0.651540003644979,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.7792716749065477
4744,4.49,4.77,4.54,4.42,4.45,4.55,4.86,4.0,4.29,51.9,0,1,1.0,0,0,48.4,1.5,29.9,23.7,0,0.0,0,0,0.6583148043673049,0.6597051597051597,0.3018718274111675,0.6486231313926043,0.6516526517359088,0.6592842673869007,0.3022949379598111,0.2031315364847905
4745,8.84,8.97,9.85,9.51,9.49,9.57,9.71,9.95,9.49,94.9,1,3,3.0,4,0,87.1,4.4,75.8,77.7,1,25.58,0,1,0.6553077968490462,0.6609427609427609,0.9081480429068692,0.651540003644979,0.6563831350080799,0.6553895987043369,0.7361406597706209,0.9910676817936576
4746,8.91,8.67,9.24,9.07,9.52,8.77,9.33,9.0,8.84,94.4,2,3,3.0,3,2,75.6,4.6,99.1,70.4,1,22.12,0,1,0.6553077968490462,0.6591515870661525,0.9081480429068692,0.6563886424134872,0.6622787899921542,0.6592842673869007,0.7361406597706209,0.9910676817936576
4747,7.77,6.96,7.55,7.93,7.21,7.94,7.29,7.68,7.45,95.3,2,2,3.0,3,2,86.2,4.3,68.6,76.4,1,12.65,0,1,0.6583148043673049,0.6553480475382003,0.6976624490671242,0.6716653512233622,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.7792716749065477
4748,8.64,8.66,8.38,8.21,8.25,8.39,8.56,8.26,8.49,91.5,2,3,3.0,4,2,78.3,4.1,83.7,54.7,0,18.03,0,1,0.6553077968490462,0.6597051597051597,0.9081480429068692,0.6716653512233622,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.9910676817936576
4749,5.26,5.34,6.15,5.65,5.82,5.86,6.12,5.64,5.73,78.2,1,1,2.0,2,1,58.8,4.8,47.4,43.8,1,0.0,0,0,0.6553077968490462,0.6553480475382003,0.3018718274111675,0.6716653512233622,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.2031315364847905
4750,4.37,4.07,4.03,4.0,4.0,4.0,4.0,4.0,9.86,60.8,3,5,1.8044691509931448,1,0,99.6,1.7,98.5,32.9,0,0.0,1,0,0.6583148043673049,0.661128903122498,0.3018718274111675,0.6563886424134872,0.6584004959702418,0.6592842673869007,0.3022949379598111,0.2031315364847905
4751,8.19,8.14,7.84,8.27,8.81,8.16,8.36,9.0,8.18,89.9,2,4,3.0,4,2,80.7,2.7,63.4,82.6,1,18.46,0,1,0.6583148043673049,0.6616339540345579,0.6976624490671242,0.6532128154644711,0.6622787899921542,0.6592842673869007,0.7361406597706209,0.9910676817936576
4752,6.84,6.08,7.05,6.95,6.85,6.94,6.51,6.23,6.67,69.2,1,2,2.0,1,1,69.7,2.6,49.5,72.0,1,0.0,0,0,0.6583148043673049,0.661128903122498,0.3018718274111675,0.6486231313926043,0.6563831350080799,0.6592842673869007,0.3022949379598111,0.7792716749065477
4753,6.51,6.57,7.29,7.24,7.05,6.74,7.25,6.92,7.14,76.4,0,1,1.0,1,0,63.0,2.1,57.5,56.1,1,0.0,0,0,0.6583148043673049,0.6605866403746611,0.6976624490671242,0.6487879142756763,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.7792716749065477
4754,6.9,6.88,7.26,6.75,6.7,7.08,6.94,6.94,7.01,68.4,1,3,2.0,1,1,67.3,3.2,61.2,39.3,1,9.15,0,1,0.6553077968490462,0.6467799288818649,0.3018718274111675,0.6716653512233622,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.7792716749065477
4755,6.11,5.88,5.78,5.72,5.23,5.8,5.76,5.55,5.72,59.2,0,0,0.0,0,0,57.8,3.4,27.1,28.2,0,0.0,0,0,0.6583148043673049,0.6553480475382003,0.3018718274111675,0.6716653512233622,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.2031315364847905
4756,6.37,6.25,6.42,5.81,5.96,6.48,5.52,6.02,6.11,63.8,1,0,0.0,1,0,49.6,2.1,20.1,24.9,0,0.0,0,0,0.6553077968490462,0.6553480475382003,0.3018718274111675,0.6716653512233622,0.6516526517359088,0.6592842673869007,0.3022949379598111,0.2031315364847905
4757,8.42,8.83,8.99,8.82,8.47,8.47,9.23,9.35,8.8,87.6,3,3,2.0,3,2,78.1,4.7,85.6,55.40852962724507,1,18.01,0,1,0.6583148043673049,0.6529160739687055,0.9081480429068692,0.651540003644979,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.9910676817936576
4758,7.64,7.74,7.68,8.25,7.75,7.54,8.47,7.87,7.78,62.6,1,2,0.0,1,1,68.85926127341149,3.4,46.6,55.7,1,8.05,0,1,0.6553077968490462,0.6609427609427609,0.6976624490671242,0.6532128154644711,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.7792716749065477
4759,5.96,6.05,5.92,5.49,6.2,5.59,5.96,6.55,5.71,76.5,1,2,1.0,1,1,64.9,2.8,61.4,44.0,1,4.79,0,1,0.6553077968490462,0.6467799288818649,0.6976624490671242,0.651540003644979,0.6563831350080799,0.6553895987043369,0.7361406597706209,0.2031315364847905
4760,4.0,4.0,4.07,4.0,4.13,4.0,4.4,4.0,4.11,55.3,0,1,0.0,0,1,31.8,1.7,24.2,29.1,1,0.0,0,0,0.6553077968490462,0.6553480475382003,0.3018718274111675,0.6487879142756763,0.6584004959702418,0.6592842673869007,0.3022949379598111,0.2031315364847905
4761,7.38,7.59,7.77,7.43,7.46,7.77,7.86,7.5,7.6,88.5,1,1,1.0,1,1,73.7,2.8,57.41127296699558,52.7,0,0.0,0,0,0.6553077968490462,0.6506528701650652,0.6976624490671242,0.6487879142756763,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.7792716749065477
4762,6.06,6.08,6.66,6.01,6.3,6.03,6.12,6.49,6.21,61.0,0,1,1.0,0,0,48.0,2.0,33.8,27.3,0,0.0,0,0,0.6583148043673049,0.6605866403746611,0.3018718274111675,0.6716653512233622,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.2031315364847905
4763,6.97,6.96,6.83,7.17,7.17,7.19,6.69,7.12,6.91,73.7,1,2,1.0,3,1,60.1,2.8,40.0,58.7,0,0.0,0,0,0.6553077968490462,0.6591515870661525,0.6976624490671242,0.6486231313926043,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.7792716749065477
4764,9.26,9.3,10.0,9.12,9.95,9.56,9.86,9.98,9.52,90.7,2,4,3.0,4,1,67.5,4.1,72.2,94.4,1,25.18,0,1,0.6583148043673049,0.661128903122498,0.9081480429068692,0.6716653512233622,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.9910676817936576
4765,10.0,10.0,9.85,9.98,10.0,9.88,10.0,10.0,10.0,65.2,1,1,1.0,1,1,74.4,2.2,66.3,51.4,1,18.28,0,1,0.6583148043673049,0.6553480475382003,0.6976624490671242,0.6716653512233622,0.6516526517359088,0.6592842673869007,0.7361406597706209,0.9910676817936576
4766,5.3,4.92,5.02,5.31,5.64,5.5,5.29,5.35,5.29,69.5,0,1,1.0,0,0,56.4,2.0,24.2,26.2,0,0.0,0,0,0.6583148043673049,0.6605866403746611,0.3018718274111675,0.6716653512233622,0.6622787899921542,0.6553895987043369,0.3022949379598111,0.2031315364847905
4767,5.14,5.54,5.33,4.66,5.09,5.11,4.77,5.15,5.16,61.9,1,1,0.0,0,0,51.7,1.8,57.41127296699558,32.0,1,0.0,0,0,0.6583148043673049,0.6605866403746611,0.3018718274111675,0.6716653512233622,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.2031315364847905
4768,8.23,7.75,7.69,8.11,7.86,7.73,8.02,8.01,7.93,80.8,2,4,2.0,3,2,83.4,3.7,84.9,88.1,1,8.56,0,1,0.6553077968490462,0.661128903122498,0.6976624490671242,0.6486231313926043,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.7792716749065477
4769,5.39,5.52,5.28,5.11,5.1,4.89,4.5,5.12,5.04,79.7,1,2,2.0,2,0,68.5,3.154210956663942,61.8,50.3,0,3.98,0,1,0.6583148043673049,0.6597051597051597,0.3018718274111675,0.6486231313926043,0.6622787899921542,0.6592842673869007,0.7361406597706209,0.2031315364847905
4770,9.33,9.3,9.47,9.94,9.41,9.92,9.2,9.46,9.44,92.5,1,3,3.0,5,3,70.3,5.0,64.2,77.3,0,18.03,0,1,0.6583148043673049,0.6529160739687055,0.6976624490671242,0.6532128154644711,0.6584004959702418,0.6553895987043369,0.3022949379598111,0.9910676817936576
4771,7.98,7.65,8.05,8.12,7.76,7.93,8.19,8.21,8.14,83.4,2,2,3.0,2,1,96.4,4.4,85.7,67.3,1,22.36,0,1,0.6553077968490462,0.6597051597051597,0.6976624490671242,0.6486231313926043,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.9910676817936576
4772,7.34,7.26,6.7,7.1,7.25,6.99,7.35,7.44,7.18,71.0,1,1,2.0,2,0,76.9,2.8,57.0,45.4,0,0.0,0,0,0.6553077968490462,0.6553480475382003,0.6976624490671242,0.6532128154644711,0.6584004959702418,0.6553895987043369,0.3022949379598111,0.7792716749065477
4773,9.88,9.85,10.0,10.0,9.98,10.0,10.0,10.0,9.77,94.7,2,3,4.0,2,1,65.2,4.7,92.1,89.5,1,25.91,0,1,0.6583148043673049,0.6597051597051597,0.6976624490671242,0.6716653512233622,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.9910676817936576
4774,4.52,4.15,4.61,4.0,4.15,4.0,4.31,4.05,4.14,65.1,0,0,0.0,0,0,44.3,1.9,26.1,30.6,0,0.0,0,0,0.6583148043673049,0.6616339540345579,0.3018718274111675,0.6487879142756763,0.6516526517359088,0.6592842673869007,0.7361406597706209,0.2031315364847905
4775,10.0,10.0,9.95,10.0,9.47,10.0,10.0,10.0,10.0,98.9,3,4,2.0,3,1,68.8,3.154210956663942,60.2,90.0,1,18.82,0,1,0.6553077968490462,0.6616339540345579,0.9081480429068692,0.6716653512233622,0.6563831350080799,0.6553895987043369,0.7361406597706209,0.9910676817936576
4776,5.56,5.14,5.53,5.22,4.98,5.0,5.38,4.9,5.1,73.8,0,0,1.0,0,0,50.7,2.3,31.3,32.2,0,0.0,0,0,0.6583148043673049,0.6591515870661525,0.6976624490671242,0.6532128154644711,0.6563831350080799,0.6592842673869007,0.7361406597706209,0.2031315364847905
4777,7.86,7.57,7.36,7.45,7.52,7.42,7.68,7.46,7.53,82.3,2,3,3.0,3,1,77.9,3.5,75.9,59.5,1,8.99,0,1,0.6553077968490462,0.6506528701650652,0.9081480429068692,0.651540003644979,0.6516526517359088,0.6592842673869007,0.7361406597706209,0.7792716749065477
4778,7.04,6.3,7.02,7.26,7.16,7.38,6.83,7.12,7.02,92.6,2,1,1.0,3,1,73.0,4.5,72.6,84.2,1,8.38,0,1,0.6583148043673049,0.6616339540345579,0.6976624490671242,0.6487879142756763,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.7792716749065477
4779,9.93,9.85,10.0,9.94,10.0,10.0,10.0,9.93,10.0,84.2,2,3,3.0,3,2,74.6,3.5,69.8,82.0,1,25.37,0,1,0.6583148043673049,0.6605866403746611,0.6976624490671242,0.6532128154644711,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.9910676817936576
4780,8.46,8.93,9.1,9.02,8.88,8.93,9.56,9.92,9.05,94.2,2,2,3.0,1,1,75.4,4.7,57.41127296699558,75.7,1,18.59,0,1,0.6553077968490462,0.661128903122498,0.9081480429068692,0.6486231313926043,0.6622787899921542,0.6592842673869007,0.7361406597706209,0.9910676817936576
4781,9.97,9.39,9.54,9.53,9.15,9.32,10.0,9.51,9.61,89.1,1,4,3.0,3,2,77.4,4.4,72.1,73.8,1,25.83,0,1,0.6553077968490462,0.6553480475382003,0.6976624490671242,0.6487879142756763,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.9910676817936576
4782,7.21,7.5,7.4,7.68,7.42,8.33,7.93,7.84,7.63,94.9,2,3,3.0,2,1,68.85926127341149,3.7,73.4,67.5,0,8.74,0,1,0.6553077968490462,0.6605866403746611,0.9081480429068692,0.6532128154644711,0.6563831350080799,0.6553895987043369,0.7361406597706209,0.7792716749065477
4783,7.55,7.76,8.37,7.63,7.72,8.05,7.55,7.58,7.75,73.2,0,3,1.8044691509931448,2,0,63.6,2.5,38.1,48.3,0,8.97,0,1,0.6583148043673049,0.6506528701650652,0.6976624490671242,0.6487879142756763,0.6584004959702418,0.6592842673869007,0.3022949379598111,0.7792716749065477
4784,8.12,8.44,8.21,8.05,8.59,8.67,8.08,8.86,8.12,91.2,3,4,3.0,3,1,69.2,5.0,95.1,71.4,1,22.87,0,1,0.6583148043673049,0.6597051597051597,0.9081480429068692,0.6532128154644711,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.9910676817936576
4785,6.45,5.72,6.55,7.11,6.65,7.24,6.73,7.04,6.55,78.1,1,2,1.8044691509931448,2,0,65.1,2.6,57.2,50.3,0,0.0,0,0,0.6583148043673049,0.6605866403746611,0.6976624490671242,0.6487879142756763,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.7792716749065477
4786,6.09,6.3,6.61,6.58,6.31,6.26,6.68,6.77,6.67,76.4,1,1,1.8044691509931448,2,0,60.0,2.5,59.1,44.7,1,8.05,0,1,0.6553077968490462,0.661128903122498,0.6976624490671242,0.6487879142756763,0.6516526517359088,0.6592842673869007,0.7361406597706209,0.7792716749065477
4787,4.99,5.33,4.94,5.15,5.21,4.94,5.24,5.34,5.05,61.9,0,0,0.0,1,0,40.7,2.6,31.7,31.9,1,0.0,0,0,0.6583148043673049,0.6605866403746611,0.3018718274111675,0.6716653512233622,0.6622787899921542,0.6592842673869007,0.7361406597706209,0.2031315364847905
4788,8.1,7.97,7.63,7.92,7.68,7.53,7.48,6.97,7.62,73.9,1,0,0.0,1,0,51.9,1.4,36.2,55.40852962724507,0,0.0,0,0,0.6583148043673049,0.6616339540345579,0.6976624490671242,0.6716653512233622,0.6584004959702418,0.6592842673869007,0.7361406597706209,0.7792716749065477
4789,8.37,8.45,8.5,8.96,8.17,8.19,8.4,8.74,8.33,82.2,0,2,2.0,2,0,66.7,2.3,54.3,55.3,1,18.35,0,0,0.6583148043673049,0.6597051597051597,0.6976624490671242,0.6486231313926043,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.9910676817936576
4790,7.36,7.95,7.8,8.13,7.75,8.25,7.65,8.88,7.9,82.5,1,3,3.0,3,1,74.1,4.1,57.41127296699558,78.8,1,12.89,0,1,0.6553077968490462,0.6467799288818649,0.9081480429068692,0.6487879142756763,0.6516526517359088,0.6553895987043369,0.7361406597706209,0.7792716749065477
4791,8.76,8.77,9.37,9.19,8.79,8.91,8.95,9.16,8.97,85.2,3,3,3.0,3,1,62.4,3.154210956663942,65.9,80.7,1,18.69,0,1,0.6553077968490462,0.6553480475382003,0.6976624490671242,0.6716653512233622,0.6584004959702418,0.6553895987043369,0.7361406597706209,0.9910676817936576
4792,6.2,5.55,6.06,5.89,6.05,6.09,5.81,5.59,6.03,57.2,1,0,0.0,1,0,45.1,1.3,26.5,25.7,0,0.0,0,0,0.6583148043673049,0.6553480475382003,0.3018718274111675,0.6716653512233622,0.6622787899921542,0.6553895987043369,0.7361406597706209,0.2031315364847905
4793,6.34,6.78,6.82,6.62,6.86,6.82,7.25,7.22,6.93,76.8,3,3,2.0,3,2,80.9,4.9,63.3,70.0,1,8.23,0,1,0.6583148043673049,0.6605866403746611,0.9081480429068692,0.6716653512233622,0.6622787899921542,0.6592842673869007,0.7361406597706209,0.7792716749065477
